월별,기간,전체,반도체,철강제품,승용차,석유제품,무선통신기기,선박,자동차부품,컴퓨터주변기기,정밀기기,가전제품
202602,01~20,43606354,15110567,2532417,2643487,3046047,1030904,1301485,971227,1342466,525855,372664
202602,01~28,67558449,25253891,3679288,4503254,4047771,1403487,2145153,1368415,2731406,774607,526408
202603,01~10,21971525,7588184,1088699,1371618,1904894,454120,465459,489398,815034,267097,167446
202603,01~20,54199698,18657127,2765934,3659639,4052630,1068240,2143259,1183235,2226017,613300,397366
202603,01~31,87211190,32973533,4108287,6078866,6172111,1573470,3413489,1695483,3602079,942353,620164
202604,01~10,25188232,8572675,1446980,1707398,1749633,568762,814998,654329,523284,318035,159062
202604,01~20,50362882,18285576,2609328,3143602,3196553,1024608,1772918,1097855,2199637,545535,311976
202604,01~30,85867478,32040024,4334772,5845990,5152142,1479271,2765275,1796681,4241060,922387,537950
202605,01~10,18434431,8539241,736926,830302,1019729,422015,261882,291676,1143020,171179,108110
202605,01~20,52651782,21951053,2417986,2766765,3236577,984282,1419962,951364,2451470,532478,331705
202605,01~31,87746912,37285276,4043387,5492695,5286793,1504035,2508596,1538082,4348723,839246,580402
